STATEID,STATE,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV,OTHERS,TOTAL,QUARTER,YEAR
FRSC001,Abia,7,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,14,Q1,2023
FRSC002,Adamawa,35,0,0,1,0,1,0,4,5,0,1,0,0,0,0,0,7,2,56,Q1,2023
FRSC003,Akwa Ibom,4,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,1,1,11,Q1,2023
FRSC004,Anambra,8,0,0,3,1,0,0,2,0,0,2,0,0,0,0,0,1,2,19,Q1,2023
FRSC005,Bauchi,79,0,12,3,2,2,1,24,5,2,4,4,0,0,0,0,7,10,155,Q1,2023
FRSC006,Bayelsa,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,Q1,2023
FRSC007,Benue,19,0,1,2,1,0,0,3,1,0,4,1,0,0,0,0,0,5,37,Q1,2023
FRSC008,Borno,6,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,9,1,26,Q1,2023
FRSC009,Cross River,12,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,15,Q1,2023
FRSC010,Delta,15,0,7,0,0,1,0,2,0,0,0,0,2,0,0,0,7,0,34,Q1,2023
FRSC011,Ebonyi,28,0,2,2,0,1,0,2,1,0,0,0,0,1,0,0,0,16,53,Q1,2023
FRSC012,Edo,25,0,6,11,9,2,0,4,3,0,0,0,0,0,0,0,33,1,94,Q1,2023
FRSC013,Ekiti,39,0,1,2,4,0,0,0,1,0,1,0,0,1,0,0,1,0,50,Q1,2023
FRSC014,Enugu,28,0,0,0,7,0,0,1,3,0,2,0,0,0,0,0,4,3,48,Q1,2023
FRSC015,FCT,300,0,21,6,11,2,3,3,33,5,27,5,0,0,2,6,179,13,616,Q1,2023
FRSC016,Gombe,47,2,0,1,0,0,0,0,14,0,4,0,0,0,0,0,18,1,87,Q1,2023
FRSC017,Imo,8,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,14,Q1,2023
FRSC018,Jigawa,185,0,6,0,0,3,0,7,6,0,5,0,0,0,0,0,0,14,226,Q1,2023
FRSC019,Kaduna,109,0,11,3,0,0,1,17,26,3,16,0,0,0,0,8,0,1,195,Q1,2023
FRSC020,Kano,53,0,5,1,0,1,0,3,6,0,1,1,0,0,0,0,5,2,78,Q1,2023
FRSC021,Katsina,18,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,25,Q1,2023
FRSC022,Kebbi,25,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,31,Q1,2023
FRSC023,Kogi,73,1,12,7,9,0,0,13,2,0,8,0,1,0,0,1,0,4,131,Q1,2023
FRSC024,Kwara,88,0,11,8,5,0,0,16,1,0,3,1,0,1,0,0,2,3,139,Q1,2023
FRSC025,Lagos,66,0,3,8,12,0,0,9,1,0,4,0,0,0,0,1,0,9,113,Q1,2023
FRSC026,Nasarawa,73,0,4,5,4,4,0,19,16,0,9,1,0,0,0,0,34,14,183,Q1,2023
FRSC027,Niger,103,0,5,1,7,3,2,13,6,0,2,1,0,0,1,3,4,10,161,Q1,2023
FRSC028,Ogun,320,0,14,14,16,3,0,18,4,0,20,5,4,1,0,6,7,25,457,Q1,2023
FRSC029,Ondo,70,1,12,0,4,0,0,1,12,1,6,1,1,0,0,1,0,2,112,Q1,2023
FRSC030,Osun,53,0,11,2,0,0,4,2,1,0,8,0,0,0,0,0,0,2,83,Q1,2023
FRSC031,Oyo,84,0,8,5,9,2,3,6,12,2,3,0,0,0,0,1,0,1,136,Q1,2023
FRSC032,Plateau,42,0,1,18,11,2,1,13,18,0,0,3,0,0,0,0,2,9,120,Q1,2023
FRSC033,Rivers,16,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,21,Q1,2023
FRSC034,Sokoto,14,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,23,Q1,2023
