STATEID,STATE,FATAL,SERIOUS,MINOR,TOTAL_CASES,NUMBER_INJURED,NUMBER_KILLED,TOTAL_CASUALTY,PEOPLE_INVOLVED,QUARTER,YEAR
FRSC001,Abia,7,5,0,12,45,16,61,81,Q1,2023
FRSC002,Adamawa,13,40,0,53,152,20,172,272,Q1,2023
FRSC003,Akwa Ibom,3,6,0,9,16,3,19,32,Q1,2023
FRSC004,Anambra,4,8,3,15,76,3,79,161,Q1,2023
FRSC005,Bauchi,43,56,11,110,473,139,612,826,Q1,2023
FRSC006,Bayelsa,2,2,2,6,11,1,12,28,Q1,2023
FRSC007,Benue,3,27,7,37,84,4,88,226,Q1,2023
FRSC008,Borno,6,17,3,26,76,9,85,115,Q1,2023
FRSC009,Cross River,5,7,0,12,35,7,42,76,Q1,2023
FRSC010,Delta,12,7,3,22,87,34,121,174,Q1,2023
FRSC011,Ebonyi,9,30,10,49,131,14,145,366,Q1,2023
FRSC012,Edo,14,37,4,55,183,41,224,426,Q1,2023
FRSC013,Ekiti,1,14,7,22,48,2,50,120,Q1,2023
FRSC014,Enugu,10,23,4,37,99,21,120,237,Q1,2023
FRSC015,FCT,71,245,66,382,667,100,767,1663,Q1,2023
FRSC016,Gombe,12,48,1,61,240,26,266,394,Q1,2023
FRSC017,Imo,9,8,1,18,58,11,69,123,Q1,2023
FRSC018,Jigawa,23,105,1,129,400,26,426,717,Q1,2023
FRSC019,Kaduna,65,129,9,203,782,139,921,1730,Q1,2023
FRSC020,Kano,23,39,4,66,309,69,378,587,Q1,2023
FRSC021,Katsina,13,10,0,23,143,29,172,206,Q1,2023
FRSC022,Kebbi,9,18,0,27,128,62,190,252,Q1,2023
FRSC023,Kogi,30,61,6,97,313,64,377,718,Q1,2023
FRSC024,Kwara,28,60,3,91,328,54,382,663,Q1,2023
FRSC025,Lagos,18,60,35,113,230,40,270,613,Q1,2023
FRSC026,Nasarawa,18,118,7,143,315,23,338,565,Q1,2023
FRSC027,Niger,34,83,6,123,407,94,501,895,Q1,2023
FRSC028,Ogun,60,175,34,269,707,113,820,1742,Q1,2023
FRSC029,Ondo,23,71,5,99,239,43,282,618,Q1,2023
FRSC030,Osun,10,54,5,69,255,13,268,559,Q1,2023
FRSC031,Oyo,32,69,5,106,247,53,300,591,Q1,2023
FRSC032,Plateau,23,70,7,100,420,55,475,824,Q1,2023
FRSC033,Rivers,5,8,5,18,37,9,46,80,Q1,2023
FRSC034,Sokoto,9,9,0,18,69,40,109,148,Q1,2023
FRSC035,Taraba,8,47,0,55,201,24,225,397,Q1,2023
FRSC036,Yobe,14,23,1,38,215,26,241,338,Q1,2023
FRSC037,Zamfara,8,12,0,20,113,14,127,189,Q1,2023
FRSC038,Abia,3,6,3,12,22,3,25,78,Q2,2023
FRSC039,Adamawa,5,51,1,57,175,5,180,301,Q2,2023
FRSC040,Akwa Ibom,5,10,2,17,32,6,38,75,Q2,2023
FRSC041,Anambra,10,11,13,34,60,12,72,273,Q2,2023
FRSC042,Bauchi,33,66,1,100,399,84,483,656,Q2,2023
FRSC043,Bayelsa,2,5,0,7,30,8,38,53,Q2,2023
FRSC044,Benue,19,38,0,57,156,29,185,302,Q2,2023
FRSC045,Borno,9,43,2,54,164,13,177,315,Q2,2023
FRSC046,Cross River,9,15,3,27,85,22,107,206,Q2,2023
FRSC047,Delta,9,13,6,28,84,17,101,224,Q2,2023
FRSC048,Ebonyi,15,29,4,48,97,43,140,294,Q2,2023
FRSC049,Edo,27,28,16,71,222,50,272,724,Q2,2023
FRSC050,Ekiti,6,17,5,28,51,9,60,117,Q2,2023
FRSC051,Enugu,13,25,6,44,129,40,169,284,Q2,2023
FRSC052,FCT,52,214,54,320,653,65,718,1713,Q2,2023
FRSC053,Gombe,17,42,1,60,220,30,250,388,Q2,2023
FRSC054,Imo,6,11,3,20,37,8,45,120,Q2,2023
FRSC055,Jigawa,29,77,1,107,291,53,344,591,Q2,2023
FRSC056,Kaduna,61,117,12,190,755,119,874,1489,Q2,2023
FRSC057,Kano,22,60,5,87,272,46,318,556,Q2,2023
FRSC058,Katsina,17,20,0,37,131,34,165,242,Q2,2023
FRSC059,Kebbi,10,25,2,37,89,24,113,207,Q2,2023
FRSC060,Kogi,31,68,8,107,360,57,417,995,Q2,2023
FRSC061,Kwara,18,55,4,77,288,37,325,633,Q2,2023
FRSC062,Lagos,35,58,45,138,209,52,261,689,Q2,2023
FRSC063,Nasarawa,31,167,10,208,532,55,587,1108,Q2,2023
FRSC064,Niger,39,107,4,150,499,78,577,1042,Q2,2023
FRSC065,Ogun,67,172,44,283,621,97,718,1777,Q2,2023
FRSC066,Ondo,29,76,8,113,278,39,317,668,Q2,2023
FRSC067,Osun,18,58,13,89,230,54,284,639,Q2,2023
FRSC068,Oyo,55,83,6,144,370,94,464,779,Q2,2023
FRSC069,Plateau,11,46,4,61,194,33,227,400,Q2,2023
FRSC070,Rivers,8,10,4,22,34,11,45,116,Q2,2023
FRSC071,Sokoto,6,11,0,17,58,8,66,90,Q2,2023
FRSC072,Taraba,8,38,1,47,99,10,109,202,Q2,2023
FRSC073,Yobe,16,33,1,50,305,32,337,438,Q2,2023
FRSC074,Zamfara,5,14,0,19,146,32,178,142,Q2,2023
FRSC075,Abia,2,8,5,15,42,11,53,129,Q3,2023
FRSC076,Adamawa,5,26,1,32,89,6,95,160,Q3,2023
FRSC077,Akwa Ibom,2,6,0,8,14,3,17,22,Q3,2023
FRSC078,Anambra,10,18,6,34,90,19,109,252,Q3,2023
FRSC079,Bauchi,13,35,3,51,159,16,175,309,Q3,2023
FRSC080,Bayelsa,0,2,3,5,2,0,2,22,Q3,2023
FRSC081,Benue,10,45,0,55,176,13,189,320,Q3,2023
FRSC082,Borno,9,19,0,28,93,17,110,199,Q3,2023
FRSC083,Cross River,3,11,4,18,25,12,37,141,Q3,2023
FRSC084,Delta,15,11,4,30,63,15,78,154,Q3,2023
FRSC085,Ebonyi,7,12,0,19,39,10,49,104,Q3,2023
FRSC086,Edo,10,20,3,33,79,16,95,266,Q3,2023
FRSC087,Ekiti,10,15,4,29,53,23,76,146,Q3,2023
FRSC088,Enugu,13,16,3,32,96,31,127,248,Q3,2023
FRSC089,FCT,63,216,70,349,607,82,689,1824,Q3,2023
FRSC090,Gombe,7,29,4,40,140,11,151,302,Q3,2023
FRSC091,Imo,7,10,3,20,107,10,117,211,Q3,2023
FRSC092,Jigawa,12,52,0,64,217,21,238,386,Q3,2023
FRSC093,Kaduna,42,71,4,117,481,82,563,1038,Q3,2023
FRSC094,Kano,15,27,1,43,132,24,156,240,Q3,2023
FRSC095,Katsina,6,12,0,18,78,13,91,132,Q3,2023
FRSC096,Kebbi,0,10,0,10,14,0,14,21,Q3,2023
FRSC097,Kogi,27,58,11,96,355,52,407,815,Q3,2023
